"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm","res16large_city","res16medium_size_city","res16small_city_or_town"
"1024",3,53,4,23.3,26.1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"1034",4,76,2,57.8,19.6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"1045",2,23,3,18.6,12.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1049",8,71,3,32.8,59.8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1051",3,59,4,41,26.5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1058",0,47,1,28.5,26.5,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"1066",2,37,3,57.8,79.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"1072",1,43,3,92.8,31.9,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1103",5,54,3,92,38.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1112",1,64,3,62.6,80.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1122",8,51,3,69.4,80.9,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1123",1,39,4,91.1,65.3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1126",3,85,4,39.9,80.9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1130",5,72,3,41,13.6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1131",3,41,4,25,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1136",2,69,3,24.6,26.8,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1141",4,61,1,32,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1144",1,78,4,67.7,80.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1148",12,22,2,59.1,56.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1155",1,25,2,25.2,76.3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"1173",2,41,3,32,80.9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"1181",1,71,4,59.1,76.7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"1187",1,55,3,46,76.7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"1198",1,33,3,60.3,39.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"1201",3,22,3,87.9,80.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"1209",2,37,4,65.3,84.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"1212",5,73,2,32,12.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1222",0,35,3,58.4,19.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"1233",1,46,4,39.2,92.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"1240",3,56,3,76.3,39.7,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1254",12,58,2,32,23.8,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"1266",2,71,2,50.4,13.2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"1267",8,40,3,61.4,77.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1268",8,43,3,28.4,24.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"1288",1,23,3,50.4,84.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"1290",3,26,4,87.9,37.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"1304",6,57,3,28.4,38.8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
