"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm"
"623",4,74,3,62,26.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"624",1,59,4,51.9,31.9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"629",2,66,2,55.3,41.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"633",1,42,4,67.7,41.1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"634",2,67,2,27.7,12.7,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"637",1,61,2,77.2,32.6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"641",1,53,3,24.6,13.6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"643",2,75,3,30.1,39.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"645",2,65,2,35.3,28.6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"646",3,74,3,26.8,25,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"648",1,52,2,87.6,38.3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"650",5,69,3,42.8,84.2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"651",3,59,4,83.8,91.1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"653",1,39,2,50,35.3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"654",1,38,4,50.4,82.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"655",2,34,5,92.8,39.7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"657",2,68,3,57.8,50.7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"658",1,82,3,43,38.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"659",4,27,3,73.9,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"661",3,60,4,91.1,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"663",3,54,2,86.5,80.9,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0
